,Factor1,Factor2,Factor3,Factor4,Factor5
EP_POV150_z,-0.11869139978359151,0.6876517184256392,-0.12425473097923025,0.053238681094078415,0.3009396683382225
EP_UNEMP_z,-0.12908985880644655,0.784552504814935,0.04759375266307108,-0.05816819667412584,-0.2870508055732275
EP_HBURD_z,0.3961709865540297,0.8172366730571844,-0.07757698559346328,0.42266090093150444,0.0008805151590019005
EP_NOHSDP_z,-0.46017852346589755,0.1891648120531519,0.12284715073994196,0.06444077417313845,0.39795091340703204
EP_AGE65_z,-0.27848688243801983,-0.09691938776948679,-0.7410093989704641,0.03986854523260224,-0.005926679692165624
EP_AGE17_z,-0.1417533560082488,0.0009049222094395389,0.9362780493051343,0.007137007242815887,-0.03364224413832464
EP_DISABL_z,-0.7649893539799694,0.19677882815608375,-0.09196832781646995,-0.0025687556469583075,-0.15912496211927488
EP_SNGPNT_z,-0.03013435707401964,0.7171490553435861,0.5237762542550004,0.02862541100375098,-0.1280788882965653
EP_MINRTY_z,0.0104280222376944,0.6714057156745555,0.4268268442719439,0.2882548113564114,0.0678033481860458
EP_MOBILE_z,-0.9522786864546545,-0.04181976945678738,0.19083896641198073,0.13949638763058475,0.09411046401064546
EP_CROWD_z,0.07814606473925975,-0.01909303467242408,0.4185757782823856,-0.19811564214825808,0.41443057074029244
EP_NOVEH_z,0.12009598704630173,0.922758411150006,-0.12974565420613263,-0.0978662313818305,-0.09430588856784324
EP_NOINT_z,-0.48123666552323136,0.3824928765761656,-0.15878035429503284,-0.05954167461901083,0.14739006686321043
EP_HISP_z,0.14580622585889721,-0.427170135993938,0.4697460994777483,0.31445653607555857,0.7347702916111593
EP_TWOMORE_z,-0.016090601950377162,0.08464455249554562,0.5962964421938729,0.09520092370759295,-0.24418135653433976
RESL_VALUE_z,0.5560413389472336,0.03671697879802055,-0.20034705179690573,0.2930847109121596,-0.29894311083836045
IFLD_ALRB_z,0.27766415999378175,-0.03908868807785272,-0.19573997839863064,-0.7970184772465772,0.034323604380617934
HRCN_RISKV_log,0.018032555591226757,0.19339393216047174,0.16677865926455415,0.8270659775307315,0.15809261175000586
EP_AIAN_log,-0.15188476555783223,0.27158334125156036,0.13919013927421373,-0.1731393323633825,0.13747001623157407
EP_ASIAN_log,0.7656923261659979,0.08055912959500985,0.2018495997535155,-0.11682751955040359,0.03219018998119311
EP_MUNIT_log,1.0484236793573731,0.23830733616334565,-0.1054462601554469,-0.06021206629068877,0.10189410427104538
IFLD_EXP_AREA_RATIO_log,0.8580552257902193,0.08557931675285531,0.09319500967711783,-0.12169167530974358,0.19879468120469693
EP_OTHERRACE_log,0.1487452296173278,-0.10910812482817152,0.31425811101745665,0.012891157929926197,-0.2512102320728814
EP_UNINSUR_log,0.05512220921094972,-0.10008248927315275,-0.2258004817844464,-0.019543858110351333,0.8242805589851184
log1p_HRCN_UNEXP_RATIO_z,-0.1126272673490667,-0.1642008756510048,-0.25563415566750913,0.6983741393920954,-0.10706515238299423
SOVI_SPCTL_z,-0.3093213196985595,0.29838979431532225,-0.4094247753086756,0.11058906705343936,0.4024565389965366
