Factor,Variable,Loading
Factor1,EP_MUNIT_log,1.0484236793573731
Factor1,EP_MOBILE_z,-0.9522786864546545
Factor1,IFLD_EXP_AREA_RATIO_log,0.8580552257902193
Factor1,EP_ASIAN_log,0.7656923261659979
Factor1,EP_DISABL_z,-0.7649893539799694
Factor2,EP_NOVEH_z,0.922758411150006
Factor2,EP_HBURD_z,0.8172366730571844
Factor2,EP_UNEMP_z,0.784552504814935
Factor2,EP_SNGPNT_z,0.7171490553435861
Factor2,EP_POV150_z,0.6876517184256392
Factor2,EP_MINRTY_z,0.6714057156745555
Factor3,EP_AGE17_z,0.9362780493051343
Factor3,EP_AGE65_z,-0.7410093989704641
Factor4,HRCN_RISKV_log,0.8270659775307315
Factor4,IFLD_ALRB_z,-0.7970184772465772
Factor4,log1p_HRCN_UNEXP_RATIO_z,0.6983741393920954
Factor5,EP_UNINSUR_log,0.8242805589851184
Factor5,EP_HISP_z,0.7347702916111593
