COUNTY,AREA,RISK_VALUE,RISK_SPCTL,ALR_VALB,ALR_VALP,ALR_VALA,SOVI_SPCTL,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_RISKV,IFLD_ALRB,IFLD_ALRP,IFLD_ALRA,IFLD_RISKV,HRCN_EXP_AREA_RATIO,IFLD_EXP_AREA_RATIO,POPULATION_DENS,BUILDVALUE_DENS,AGRIVALUE_DENS
ALAMANCE,438.62387049,38553029.17612038,77.06743002544529,0.001157833892983,3.366109272e-06,0.007601432802782,12.5,66.0,2.481397258,0.930526484,7.5358806494e-05,6.1266226e-08,0.00243614803678,2510600.0146971587,0.000826398748041,4.6353012e-08,0.000350566664202,24846673.67785292,1.0,0.1349699712015649,390.57609839751245,73312262.20332466,122570.29226416828
ALEXANDER,266.29362708,15153726.959864704,45.801526717557245,0.001272406572559,3.407386824e-06,0.002965295566262,70.0,28.000000000000004,2.397771435,1.435040365,2.2757647632e-05,1.819861e-08,0.000792696784194,509276.6007509607,0.000899181265049,1.00341651e-07,0.000194303820968,9537349.82549407,1.0,0.09646616467152334,136.83016150083677,27362486.447379384,852619.3378701865
ALLEGHANY,238.64392578,11568923.401347479,34.66921119592875,0.001183798044192,1.5731369207e-05,0.020748090770872,93.0,7.000000000000001,2.324952081,1.745273684,2.704610679e-05,1.2988118e-08,0.000480693535791,195636.0832543407,0.000895338941277,4.2368192e-08,6.7855384876e-05,5257678.059355901,1.0,0.059153691986263225,45.57417484837355,14056755.624664364,169392.33155788056
ANSON,542.52172884,16917670.592041492,50.0,0.001121023377102,7.888377811e-06,0.006619217843449,89.0,27.0,2.397155214,1.655329563,4.4003931801e-05,3.4188185e-08,0.004195757283126,3136898.9187778016,0.000711432852273,2.6306593e-07,0.00080395644862,7176341.39192572,1.0,0.040250039876221215,40.61772797030003,10211881.78922489,720874.6953531513
ASHE,433.71190668,27041639.02597405,66.76208651399492,0.001720319936156,1.1861377339e-05,0.024231677807505,77.0,42.0,2.422711797,1.515015543,2.2597549192e-05,1.0461627e-08,0.000391151619112,316212.766731726,0.001401723624239,3.33216161e-07,0.011489523059939,18016784.411015876,1.0,0.06301041300214337,61.23880758384717,17971331.93475093,169637.80303657675
AVERY,250.00849458,15724589.963300943,47.48727735368957,0.001324637707061,8.123687001e-06,0.008290411250056,70.0,64.0,2.478314096,1.388797331,2.1634908566e-05,9.8355e-09,0.00037980357374,249972.44614641592,0.001012784420961,1.53963837e-07,0.001194624396849,11002386.064975476,1.0,0.07842870032678713,71.1895810976328,31017605.92586022,103443.04917897322
BEAUFORT,972.56821467,75915325.4134512,88.16793893129771,0.004876132396249,9.686523213e-06,0.01790220092981,70.0,77.0,2.496422676,1.397841034,0.003452353142454,3.048277461e-06,0.013280953317846,56485832.94122048,0.000567712280596,3.93193713e-07,0.000817198576909,8920737.628414925,0.8971427743827275,0.046534653294122284,45.86516331415941,10909622.966241166,148320.7571706894
BERTIE,748.79194221,26728825.320910364,66.38040712468194,0.002545656605375,9.084577242e-06,0.0125028518591,79.5,37.0,2.415040558,1.558260724,0.001410831252897,6.73934136e-07,0.007608588654151,15078223.474881027,0.000731279001969,7.9638867e-07,0.000576478940557,6226993.290383215,0.9544513413485227,0.028321580836759945,23.949242759039546,6587453.283006396,447870.7089317838
BLADEN,896.74408083,55558246.88308596,84.57379134860051,0.003167260925508,1.1009359756e-05,0.01460431872258,70.0,35.0,2.411696954,1.439278682,0.001742278160182,7.33240625e-07,0.009195297979552,31728978.56303184,0.000727541384475,1.802513294e-06,0.000670104835972,11500624.47311678,1.0,0.04541595149628165,33.00495719202951,10536986.228282992,640928.9386867533
BRUNSWICK,1060.13836305,206599765.7821567,95.76972010178118,0.0045349724366,8.76850345e-06,0.022342789425836,63.5,92.0,2.558626168,1.347275235,0.003074274784746,3.384429251e-06,0.016542410083402,149061946.58828592,0.000683787341624,6.78640083e-07,0.001830942825469,32820538.514526974,0.8348666374502822,0.0598339179241248,128.51624349110946,31707887.104746353,55958.98428703693
BUNCOMBE,666.6120942,83177517.76449995,89.34478371501272,0.001160805436889,6.662512366e-06,0.024253491610403,20.0,89.0,2.545474727,1.009828837,9.134559724e-06,6.840037e-09,0.000327219375463,549478.7155615144,0.000859775893964,2.8469891e-07,0.001121406600851,48528132.14823301,1.0,0.1446487115001199,403.99057014288417,81893302.66729505,92739.06149901354
BURKE,519.4280426400001,30005765.421063863,70.16539440203562,0.001297659963094,3.251011431e-06,0.012907439798672,56.5,36.0,2.414419969,1.315521037,1.8819129616e-05,1.4652701e-08,0.000616403512676,487332.6492784291,0.000937162064524,6.3495947e-08,0.005528890542141,19744817.209818024,1.0,0.0930527953040014,168.5161231479098,29485230.021773547,201930.32795631117
CABARRUS,367.603509,68326950.72496077,87.05470737913485,0.001616557153632,3.720246762e-06,0.008354325229353,5.0,85.0,2.53789027,0.797091499,1.8005380746e-05,1.4947485e-08,0.002029062547822,891421.1193035013,0.001244382642014,2.53062326e-07,0.002236815984609,51491486.91932267,1.0,0.19972555963525693,614.172592133771,139143807.76490358,202627.32584524923
CALDWELL,479.40243429,27619735.24000875,67.43002544529261,0.001378892404736,3.359479133e-06,0.009106521601835,31.5,34.0,2.411594952,1.103388482,1.8795430863e-05,1.4626278e-08,0.000616672777165,411445.3647621602,0.001034097266505,4.770287e-08,0.001792298242503,19520912.833309606,1.0,0.09734433778592942,168.0967684683302,35357064.37140545,129069.04632563876
CAMDEN,313.38902010000004,2438801.2964671487,2.544529262086514,0.001461810700697,4.822117501e-06,0.014008587093816,5.0,90.0,2.547983371,0.702559952,0.000344999093311,1.68185101e-07,0.009795887492284,770073.4163220112,0.000756236849041,3.45863476e-07,0.00095879334112,944585.7938547184,0.7754991324560447,0.05916680819087272,33.02604538186243,5258072.763602862,164092.48155404662
CARTERET,1343.84272659,145772115.21252835,93.47964376590332,0.006884885770429,9.015599129e-06,0.031111241458594,38.5,98.0,2.637122399,1.1295785,0.005371451464995,3.984071472e-06,0.020095026037499,123428718.0239552,0.000438307575677,9.39264226e-07,0.006356012743684,10877536.274045238,0.4200706302253396,0.04889824854810696,50.32210887623613,14541125.320955703,22780.030277560756
CASWELL,433.03126854,8170327.791864336,22.36005089058524,0.001103717248986,3.134204697e-06,0.014420024156094,50.5,10.0,2.347725591,1.301378129,0.000115701102719,5.9869431e-08,0.001814998080217,855616.7847875578,0.000742923756305,1.3757582e-08,0.000261803931232,4619888.145678723,1.0,0.04041501091221823,52.45348696546116,10981753.47945048,112767.27005105247
CATAWBA,420.22343181,45219101.770311415,80.56615776081425,0.000987888458476,3.654290803e-06,0.006878394872616,17.5,70.0,2.484469164,0.996649077,2.8312267957e-05,2.338508e-08,0.001074147428116,1335350.22253694,0.000654276107502,2.6231902e-08,0.000751059515123,27344875.24127023,1.0,0.1733799055477148,381.96108986272,99309605.52639726,236790.3202622698
CHATHAM,716.08800822,27441588.79196538,67.17557251908397,0.001259629344563,4.179366421e-06,0.005964471619163,31.5,79.0,2.497863811,1.105519469,0.000120900915415,9.3918911e-08,0.003437388158163,3243391.1901075286,0.000862567649969,1.7262646e-08,0.000323178567216,16490863.23049468,1.0,0.05270296875071575,106.39614003505676,24005544.37397977,307737.826175547
CHEROKEE,471.37704822,19923802.549147416,56.71119592875318,0.00151277976884,6.94988299e-06,0.005716836689869,55.0,4.0,2.314837904,1.331744895,1.4237245581e-05,5.940948e-09,0.000264678209125,180951.72491068195,0.001043450790564,4.4691392e-08,0.001232532700759,12554333.0617044,1.0,0.052544626652083405,60.95332835677283,19078181.05900396,44094.34884131067
CHOWAN,236.00697705,11483632.350731747,34.28753180661578,0.002495545337995,7.996696983e-06,0.013874652710264,44.5,57.99999999999999,2.467380028,1.242719812,0.00164752186104,7.30727007e-07,0.00848450290405,7247569.86356237,0.000447280318602,3.7148224e-08,0.000215106418753,1774303.518245165,0.764351577878066,0.05034823569135538,58.08302860934425,13337065.273850556,254187.61661139628
CLAY,223.01068062,9300215.083876232,26.8765903307888,0.001624625336441,8.210864413e-06,0.014672004470915,95.0,1.0,2.268612662,1.821210602,1.2596553207e-05,5.633681e-09,0.00022236917579,63495.61831710561,0.00119571284969,3.6457122e-08,0.000874370552405,5750443.943366889,1.0,0.04952371993234447,49.679234955020426,11807882.14124594,16920.88912292922
CLEVELAND,472.90553661,29871800.204592247,70.00636132315522,0.001107820955601,4.073759946e-06,0.005442019409355,31.5,43.0,2.423011989,1.094651179,2.8574496678e-05,2.3123582e-08,0.000866744870415,860455.094157431,0.000727313355054,8.275968e-09,0.000159933218652,16905872.59700275,1.0,0.10902215557621003,210.31261488913782,44789133.63297702,364268.1014793543
