COUNTY,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,E_HU_PER_SQMI,E_HH_PER_SQMI
ALAMANCE,23.5,5.0,24.4,11.7,9.7,16.9,22.0,12.8,6.3,2.8,38.8,8.0,11.4,1.7,5.0,2.9,13.9,19.4,13.5,1.6,0.1,0.0,3.5,0.6,174.88405329681055,159.0971395666211
ALEXANDER,21.5,5.6,16.5,14.0,9.1,20.4,19.7,17.1,4.6,0.5,13.9,0.6,25.9,2.9,2.8,3.5,16.4,4.4,5.1,1.1,0.2,0.0,3.0,0.2,61.67664896300123,52.92998854879076
ALLEGHANY,34.0,5.3,21.4,17.7,13.4,28.0,16.3,17.4,3.4,1.5,13.8,1.3,15.6,3.2,5.6,1.7,20.2,1.8,10.0,0.3,0.3,0.0,1.3,0.0,32.899686207649026,21.02326570116014
ANSON,34.8,6.4,29.9,17.5,13.0,19.5,20.0,20.6,8.7,0.6,55.8,0.9,23.8,1.8,7.1,8.8,15.9,47.3,4.6,1.5,0.2,0.0,2.1,0.1,18.746438007561693,15.55335306338502
ASHE,24.5,5.1,17.9,13.0,11.0,26.6,16.9,17.9,5.0,1.0,8.1,2.3,17.2,1.2,4.2,1.6,20.0,1.0,5.3,0.4,0.2,0.0,1.1,0.1,39.94239423828498,27.73634013151905
AVERY,25.8,5.0,18.9,13.1,14.6,22.7,13.9,19.0,4.8,0.9,12.5,8.0,11.8,2.4,4.5,17.1,18.2,3.6,5.1,0.5,0.8,0.0,2.4,0.0,56.25909957012179,26.20303444584688
BEAUFORT,27.6,5.6,28.6,13.2,11.3,24.4,19.6,17.1,7.0,1.0,34.3,2.2,25.7,1.4,5.8,1.2,18.9,23.1,8.4,0.2,0.1,0.0,2.3,0.2,29.179726852979456,22.782739119088287
BERTIE,35.8,6.4,32.9,19.5,11.9,23.9,17.1,23.5,7.9,0.0,65.9,0.4,29.1,1.9,11.3,8.5,35.4,61.3,1.4,0.8,0.3,0.0,2.0,0.1,12.883735169936992,9.988899470119888
BLADEN,35.0,5.5,27.8,11.8,10.0,22.8,20.3,14.8,6.6,1.5,45.4,1.4,30.5,1.4,7.9,1.5,19.6,33.7,8.1,0.3,2.7,0.0,0.6,0.0,17.539944415908852,13.012106275706163
BRUNSWICK,16.3,5.0,23.3,6.5,8.8,32.7,14.5,14.9,3.2,0.4,18.6,4.0,18.8,1.5,2.4,0.7,7.2,8.6,5.1,0.6,0.2,0.0,3.8,0.2,106.40787042645343,71.65891422189632
