,COUNTY,cancellation_rate_z,resPenetrationRate_z,active_premium_per_policy_log_z,new_premium_per_policy_log_z,canceled_premium_per_policy_log_z,expired_premium_per_policy_log_z
0,ALAMANCE,0.8454486576783001,-0.41585279609303955,0.060999877439417205,0.1429316960613648,0.333843352069878,0.024205475931219182
1,ALEXANDER,1.0283895519198973,-0.47679578512879006,-0.2672986554217432,0.15654213113415114,-3.5742911459662703,-0.5105884859832287
2,ALLEGHANY,-1.7406930706218136,-0.4601749699372218,-0.49813581735507406,-0.3516426663365804,-3.5742911459662703,-0.5911640179850812
3,ANSON,-2.585293434795756,-0.4809509889266821,-1.056896057874036,-1.2710386913190301,-3.5742911459662703,-0.8699434180257896
4,ASHE,0.03587501369284013,-0.33551885600045933,0.8667335491503277,1.0682872008574535,0.711819945310929,0.45607113230708907
5,AVERY,1.2224768890455873,-0.25795505177314043,0.35664231252419565,0.5195789793363514,0.4869262324650817,0.2693253705498393
6,BEAUFORT,-0.1470544615855838,1.423517418440522,-0.8200024451171256,-1.0238435409260933,0.23695012273372248,-0.6431076575701388
7,BERTIE,-1.220032174732578,-0.36045007878781177,-0.5401062572289017,-0.976812215810399,0.15273383056896728,-0.22999193969213502
8,BLADEN,-0.93339464031848,-0.3590650108551811,-0.12803652366663829,-0.48908644591298106,0.3083615152801987,0.1399040460243663
9,BRUNSWICK,0.032449406438027524,2.5343419004103382,-0.2991349591373972,-0.41343894555042493,0.2818452852002133,-0.20088055645323263
10,BUNCOMBE,0.8038399755873031,-0.34936953532676623,0.3640961740250638,0.3774278700180366,0.25642022782562557,0.3802487342034793
11,BURKE,0.7448619103855271,-0.44355415474565346,0.44185319472974216,0.9430958362533937,0.22415991627718784,0.11434161272914993
12,CABARRUS,-0.5997086266543221,-0.4172378640256702,-0.5693226947018718,-0.3006834955052855,0.17106265884545974,-0.7438573324392611
13,CALDWELL,0.5433137552155382,-0.4380138830151306,0.9104194351365732,1.231706609370255,0.41307358937606276,0.7168392744092401
14,CAMDEN,-0.3594788546560232,1.423517418440522,-0.9043615168878272,-1.092657411507771,0.14522902889447273,-0.7424313656735109
15,CARTERET,-0.025005749007327153,2.574508870456629,0.8041592817725687,0.6317268562373607,0.3614741424007696,0.9338337883269402
16,CASWELL,-2.585293434795756,-0.48510619272457417,5.723142002250993,2.7535794029254017,-3.5742911459662703,6.539852436153479
17,CATAWBA,0.9936937167318162,-0.440784018880392,0.36074636220089057,0.4456457885877627,0.348229201304681,0.3376368334229578
18,CHATHAM,0.5169711899373003,-0.3895365053730564,-0.7336721296523242,-0.8157249504135738,0.01174873536287866,-0.6329717474409153
19,CHEROKEE,1.3739497315348308,-0.3715306222488573,0.19792608764413105,0.5559984203539138,0.34272081928337744,-0.03518516367184852
20,CHOWAN,0.16007878240606682,-0.005872688034354152,-0.5208961003080339,-0.34211214825748193,0.1665039574151556,-0.6468616029208927
21,CLAY,-0.5588258317512583,-0.21086274206369685,0.6931557060729514,1.2970190789560068,0.2508318869418672,0.26549460757334026
22,CLEVELAND,2.6843300211558523,-0.47679578512879006,1.7846130952521786,1.8363748495143426,0.13904798024868972,1.7735142834090076
23,COLUMBUS,-1.0595749429774861,-0.1734659078826681,-0.5206280468037661,-0.6847359397870135,0.19335126375076267,-0.3738843963336241
24,CRAVEN,0.32484910483662255,1.1797454622975199,-0.15170084542100606,-0.19387032462427684,0.31070216669416006,-0.1125851647540802
25,CUMBERLAND,-0.45945798706704566,-0.3202831087415216,-0.8417314558897039,-0.9371783729148304,0.123047874854725,-0.7319047923089843
26,CURRITUCK,0.6442787267443301,2.251788042153677,-0.555049462848162,-0.6617003650869658,0.15314069391053511,-0.46505457232188563
27,DARE,0.26318892467316163,5.123033866497105,-0.7859421843969588,-1.230361243456619,0.061433808201623995,-0.44992005409618957
28,DAVIDSON,0.9768081371353678,-0.4490944264761762,-0.000916404838778691,0.017797318661120023,0.21619089843605976,-0.022599916476115332
29,DAVIE,-1.319515708083415,-0.44770935854354543,-0.3962106268099634,-0.5256768144083275,-0.04163734034094567,-0.27120222405695443
30,DUPLIN,-0.3190768502600796,-0.11390798677954829,-0.9454286078857838,-1.0066677556156787,0.000394634243643541,-0.868504001936236
31,DURHAM,1.0168589860554724,-0.3064324294152147,-0.2558522782080038,-0.2851736820672615,0.10268987295955367,-0.24345981539248163
32,EDGECOMBE,-1.3598999324329009,0.014903330955106273,-0.3516430467681362,-0.5186079149366293,0.07689063664005202,-0.2028180610669852
33,FORSYTH,0.01815757763758152,-0.43108854335197716,0.17343466210305983,0.31229608658353286,0.3299782040551645,0.11663999761725992
34,FRANKLIN,-0.054548622922282,-0.44770935854354543,-0.7580996982277793,-0.7910516845801241,-0.0237680927117508,-0.7087154703193594
35,GASTON,0.4104570326690173,-0.43662881508249995,0.5750400006297337,0.6421466547641039,0.4450748075378143,0.5387475314442959
36,GATES,-0.4884798713822402,-0.3285935163373058,-0.5187726795057156,-1.159189626376699,0.1903508150497677,-0.11379980968185568
37,GRAHAM,1.0943112189812887,-0.37430075811411867,1.6781670486192537,1.8884283665531427,0.19873529639885182,1.6100477439141154
38,GRANVILLE,-0.6986899508841162,-0.46571524166774453,-1.7251436392963129,-1.965175496247402,0.01805881726665441,-1.5334300825942682
39,GREENE,-1.1444261387608559,-0.3770708939793801,-1.1664193472002415,-1.3822358213014982,0.05150889134962559,-0.9824853889892169
40,GUILFORD,-0.022287541557270953,-0.4297034754193465,0.6600410869833115,0.6359289726313478,0.45798774525571095,0.6784802009782818
41,HALIFAX,-1.2805565136473014,-0.4421690868130227,0.0006068225945314566,0.2286204078808283,0.3283137331446795,-0.1357917814350601
42,HARNETT,-0.32339664350515884,-0.38676636950779497,-0.5031446840553445,-0.47316573977750565,0.25768496442371175,-0.5073120752459583
43,HAYWOOD,0.8521161888805167,-0.20532247033317405,1.3202633422596937,1.5632981957823826,0.5210084044653508,1.1113673933961568
44,HENDERSON,0.894990122542191,-0.34936953532676623,-0.18047313346302293,-0.38784565441728547,0.2606392996940906,0.00811137441688584
45,HERTFORD,-1.6546872539865145,-0.41031252436251675,-0.15127008169182177,-0.29625121797818776,0.06526526967146735,-0.02743229065638697
46,HOKE,0.7448707830115283,-0.41031252436251675,-1.4433635208066304,-1.8196850471468073,0.008339660152311674,-1.1509164580423292
47,HYDE,-0.6816427000760338,4.064841965967254,-1.1495244830466516,-1.562570858799495,0.2600136562276371,-0.8408263754496806
48,IREDELL,-0.2471830160679783,-0.4615600378698524,-0.38049380854006065,-0.1503054751312275,0.6377229549813296,-0.5104845959876197
49,JACKSON,-0.0998723438487873,-0.31751297287626024,0.02585063457769539,0.39430579620401657,0.268494591793168,-0.1470588141517202
50,JOHNSTON,0.0964128744446198,-0.3978469129688405,-0.835645104067652,-0.7804456208480283,0.05874731507207401,-0.8232662007030278
51,JONES,-0.9885124168001562,0.10493274657610135,-1.1119687391390498,-1.0391145741914578,-0.0336132639648857,-1.1368148820096788
