COUNTY,resPenetrationRate
ALAMANCE,0.0053
ALEXANDER,0.0009
ALLEGHANY,0.0021
ANSON,0.0006
ASHE,0.0111
AVERY,0.0167
BEAUFORT,0.1381
BERTIE,0.0093
BLADEN,0.0094
BRUNSWICK,0.2183
BUNCOMBE,0.0101
BURKE,0.0033
CABARRUS,0.0052
CALDWELL,0.0037
CAMDEN,0.1381
CARTERET,0.2212
CASWELL,0.0003
CATAWBA,0.0035
CHATHAM,0.0072
CHEROKEE,0.0085
CHOWAN,0.0349
CLAY,0.0201
CLEVELAND,0.0009
COLUMBUS,0.0228
CRAVEN,0.1205
CUMBERLAND,0.0122
CURRITUCK,0.1979
DARE,0.4052
DAVIDSON,0.0029
DAVIE,0.003
DUPLIN,0.0271
DURHAM,0.0132
EDGECOMBE,0.0364
FORSYTH,0.0042
FRANKLIN,0.003
GASTON,0.0038
GATES,0.0116
GRAHAM,0.0083
GRANVILLE,0.0017
GREENE,0.0081
GUILFORD,0.0043
HALIFAX,0.0034
HARNETT,0.0074
HAYWOOD,0.0205
HENDERSON,0.0101
HERTFORD,0.0057
HOKE,0.0057
HYDE,0.3288
IREDELL,0.002
JACKSON,0.0124
JOHNSTON,0.0066
JONES,0.0429
LEE,0.0052
LENOIR,0.0155
LINCOLN,0.0025
MACON,0.0084
MADISON,0.0096
MARTIN,0.005
MCDOWELL,0.0069
MECKLENBURG,0.0081
MITCHELL,0.0057
MONTGOMERY,0.0013
MOORE,0.0135
NASH,0.0144
NEW HANOVER,0.1518
NORTHAMPTON,0.0024
ONSLOW,0.0656
ORANGE,0.0144
PAMLICO,0.2681
PASQUOTANK,0.1093
PENDER,0.1665
PERQUIMANS,0.063
PERSON,0.0012
PITT,0.0246
POLK,0.008
RANDOLPH,0.0018
RICHMOND,0.0017
ROBESON,0.0267
ROCKINGHAM,0.0011
ROWAN,0.0034
RUTHERFORD,0.0036
SAMPSON,0.0053
SCOTLAND,0.004
STANLY,0.0017
STOKES,0.0012
SURRY,0.0006
SWAIN,0.0088
TRANSYLVANIA,0.0159
TYRRELL,0.169
UNION,0.0044
VANCE,0.0009
WAKE,0.0084
WARREN,0.0025
WASHINGTON,0.0366
WATAUGA,0.02
WAYNE,0.0124
WILKES,0.0005
WILSON,0.0136
YADKIN,0.0007
YANCEY,0.0161
