COUNTY,cancellation_rate,active_premium_per_policy,new_premium_per_policy,canceled_premium_per_policy,expired_premium_per_policy
ALAMANCE,0.02389394640839453,663.1463414634146,677.816265060241,888.0,648.4596273291926
ALEXANDER,0.025168067226890755,612.875,679.6666666666666,0.0,558.2272727272727
ALLEGHANY,0.0058823529411764705,579.8235294117648,613.8823529411765,0.0,545.7647058823529
ANSON,0.0,507.0,510.6,0.0,504.75
ASHE,0.018255542604893368,804.675572519084,815.8294573643411,1713.375,731.8461538461538
AVERY,0.02651981921139651,711.9307228915662,730.9289940828403,1158.875,694.5493827160494
BEAUFORT,0.016981501315573848,536.6876746352065,536.5299251870324,750.2604166666666,537.8782391507962
BERTIE,0.009508578174083033,574.0082304526749,541.6101694915254,648.0,603.8861788617886
BLADEN,0.011504910658809613,633.7175572519084,597.2094240837696,849.5,669.820895522388
BRUNSWICK,0.01823168442087474,608.207183908046,606.3292794860027,811.2063273727648,608.8316374269006
BUNCOMBE,0.023604156155088356,713.2059405940594,710.4121532364597,776.1086956521739,716.4676549865229
BURKE,0.0231933940834382,726.6455026455027,795.6304347826087,733.75,665.0416666666666
CABARRUS,0.013828919725306496,569.994495412844,620.1814744801512,669.0,522.9045045045045
CALDWELL,0.021789680050574356,813.1584905660377,842.968992248062,1019.2,787.2962962962963
CAMDEN,0.015502038002083985,525.9219088937093,529.1823529411764,639.5925925925926,523.1135057471264
CARTERET,0.017831528895308178,792.6786499616467,747.5321388804534,931.71875,836.6233602686535
CASWELL,0.0,2580.25,1143.25,0.0,4017.25
CATAWBA,0.024926422590181657,712.6325678496869,720.1853448275862,910.5,707.9670781893004
CHATHAM,0.021606213084520973,547.9327731092437,559.3771929824561,507.0,539.4081632653061
CHEROKEE,0.027574775801897648,685.3112582781457,736.28,901.8181818181819,637.76
CHOWAN,0.019120579414236945,576.6626712328767,615.0555555555555,663.7142857142857,537.3127147766323
CLAY,0.01411365442238037,771.8345588235294,854.0661764705883,768.6,693.8045112781955
CLEVELAND,0.03670112676937655,1003.0,951.4666666666667,632.75,1058.3720930232557
COLUMBUS,0.01062610796590445,576.6997971602434,574.2525458248473,695.4545454545455,580.0244399185336
CRAVEN,0.020268148408853628,630.1265961327982,633.5949435180204,852.9657794676806,624.079977311401
CUMBERLAND,0.014805717507160388,533.8938005390836,545.928611579539,615.375,524.6589473684211
CURRITUCK,0.022492866578097417,571.951830180977,576.9090404880754,648.4589371980676,565.3951833607006
DARE,0.019838706322959254,541.096471278703,514.7792909481163,552.8011126564674,567.7979324706232
DAVIDSON,0.02480882029800199,653.3600823045267,661.0376569037657,723.6470588235294,640.0125
DAVIE,0.008815709357270156,594.192,592.8474576271186,462.0,596.9538461538461
